ID,Prob1
196, 0.49
197, 0.03
198, 0.75
199, 0.78
200, 0.09
201, 0.46
202, 0.05
203, 0.34
204, 0.21
205, 0.09
206, 0.30
207, 0.04
208, 0.47
209, 0.37
210, 0.69
211, 0.26
212, 0.79
213, 0.09
214, 0.55
215, 0.06
216, 0.60
217, 0.33
218, 0.22
219, 0.67
220, 0.43
221, 0.19
222, 0.79
223, 0.52
224, 0.70
225, 0.36
226, 0.84
227, 0.87
228, 0.38
229, 0.05
230, 0.68
231, 0.88
232, 0.18
233, 0.02
234, 0.19
235, 0.30
236, 0.09
237, 0.01
238, 0.33
239, 0.07
240, 0.24
241, 0.12
242, 0.43
243, 0.67
244, 0.05
245, 0.63
246, 0.55
247, 0.78
248, 0.46
249, 0.47
250, 0.49
251, 0.61
252, 0.26
253, 0.05
254, 0.14
255, 0.61
256, 0.92
257, 0.11
258, 0.40
259, 0.79
260, 0.17
261, 0.16
262, 0.30
263, 0.21
264, 0.31
265, 0.03
266, 0.13
267, 0.19
268, 0.48
269, 0.11
270, 0.11
271, 0.42
272, 0.32
273, 0.33
274, 0.19
275, 0.61
276, 0.18
277, 0.53
278, 0.56
279, 0.78
280, 0.21
281, 0.31
282, 0.11
283, 0.29
284, 0.35
285, 0.64
286, 0.17
287, 0.12
288, 0.09
289, 0.23
290, 0.74
291, 0.48
292, 0.51
293, 0.08
294, 0.44
295, 0.61
296, 0.11
297, 0.14
298, 0.74
299, 0.36
300, 0.17
301, 0.12
302, 0.55
303, 0.51
304, 0.07
305, 0.04
306, 0.15
307, 0.13
308, 0.27
309, 0.68
310, 0.10
311, 0.43
312, 0.21
313, 0.33
314, 0.91
315, 0.23
316, 0.62
317, 0.09
318, 0.38
319, 0.53
320, 0.18
321, 0.38
322, 0.18
323, 0.38
324, 0.05
325, 0.46
326, 0.48
327, 0.49
328, 0.20
329, 0.71
330, 0.77
331, 0.16
332, 0.51
333, 0.16
334, 0.37
335, 0.34
336, 0.30
337, 0.22
338, 0.21
339, 0.20
340, 0.60
341, 0.10
342, 0.38
343, 0.28
344, 0.06
345, 0.15
346, 0.12
347, 0.06
348, 0.11
349, 0.03
350, 0.19
351, 0.34
352, 0.21
353, 0.20
354, 0.29
355, 0.17
356, 0.11
357, 0.24
358, 0.46
359, 0.05
360, 0.41
361, 0.21
362, 0.23
363, 0.05
364, 0.07
365, 0.86
366, 0.02
367, 0.35
368, 0.41
369, 0.66
370, 0.28
371, 0.28
372, 0.82
373, 0.28
374, 0.41
375, 0.52
376, 0.81
377, 0.21
378, 0.49
379, 0.09
380, 0.84
381, 0.21
382, 0.22
383, 0.25
384, 0.39
385, 0.10
386, 0.30
387, 0.36
388, 0.27
389, 0.69
390, 0.59
391, 0.14
392, 0.26
393, 0.04
394, 0.54
395, 0.18
396, 0.19
397, 0.05
398, 0.24
399, 0.12
400, 0.42
401, 0.45
402, 0.56
403, 0.04
404, 0.31
405, 0.15
406, 0.27
407, 0.25
408, 0.16
409, 0.47
410, 0.13
411, 0.39
412, 0.58
413, 0.66
414, 0.30
415, 0.19
416, 0.15
417, 0.76
418, 0.09
419, 0.40
420, 0.38
421, 0.67
422, 0.15
423, 0.35
424, 0.34
425, 0.23
426, 0.21
427, 0.20
428, 0.10
429, 0.84
430, 0.22
431, 0.78
432, 0.09
433, 0.74
434, 0.10
435, 0.04
436, 0.59
437, 0.40
438, 0.53
439, 0.34
440, 0.20
441, 0.16
442, 0.30
443, 0.30
444, 0.36
445, 0.28
446, 0.12
447, 0.18
448, 0.16
449, 0.33
450, 0.96
451, 0.09
452, 0.25
453, 0.86
454, 0.23
455, 0.79
456, 0.68
457, 0.17
458, 0.08
459, 0.28
460, 0.14
461, 0.22
462, 0.19
463, 0.90
464, 0.09
465, 0.21
466, 0.76
467, 0.23
468, 0.28
469, 0.60
470, 0.22
471, 0.05
472, 0.30
473, 0.17
474, 0.14
475, 0.07
476, 0.16
477, 0.11
478, 0.52
479, 0.21
480, 0.37
481, 0.03
482, 0.02
483, 0.25
484, 0.82
485, 0.67
486, 0.46
487, 0.31
488, 0.39
489, 0.34
490, 0.35
491, 0.27
492, 0.12
493, 0.30
494, 0.14
495, 0.34
496, 0.46
497, 0.15
498, 0.92
499, 0.40
500, 0.08
501, 0.14
502, 0.67
503, 0.28
504, 0.18
505, 0.67
506, 0.13
507, 0.68
508, 0.32
509, 0.43
510, 0.63
511, 0.53
512, 0.09
513, 0.83
514, 0.24
515, 0.29
516, 0.23
517, 0.47
518, 0.89
519, 0.11
520, 0.18
521, 0.87
522, 0.18
523, 0.87
524, 0.21
525, 0.48
526, 0.83
527, 0.54
528, 0.24
529, 0.10
530, 0.34
531, 0.13
532, 0.04
533, 0.05
534, 0.33
535, 0.31
536, 0.16
537, 0.29
538, 0.25
539, 0.53
540, 0.55
541, 0.16
542, 0.12
543, 0.80
544, 0.24
545, 0.82
546, 0.30
547, 0.19
548, 0.07
549, 0.23
550, 0.08
551, 0.30
552, 0.19
553, 0.28
554, 0.24
555, 0.13
556, 0.17
557, 0.54
558, 0.34
559, 0.90
560, 0.19
561, 0.24
562, 0.03
563, 0.11
564, 0.83
565, 0.36
566, 0.10
567, 0.04
568, 0.47
569, 0.60
570, 0.12
571, 0.63
572, 0.00
573, 0.32
574, 0.40
575, 0.41
576, 0.22
577, 0.08
578, 0.08
579, 0.33
580, 0.32
581, 0.55
582, 0.30
583, 0.08
584, 0.18
585, 0.13
586, 0.12
587, 0.16
588, 0.82
589, 0.40
590, 0.92
591, 0.09
592, 0.39
593, 0.52
594, 0.72
595, 0.04
596, 0.19
597, 0.21
598, 0.12
599, 0.44
600, 0.34
601, 0.66
602, 0.27
603, 0.57
604, 0.34
605, 0.22
606, 0.12
607, 0.17
608, 0.32
609, 0.63
610, 0.55
611, 0.21
612, 0.44
613, 0.49
614, 0.25
615, 0.39
616, 0.29
617, 0.38
618, 0.90
619, 0.03
620, 0.21
621, 0.11
622, 0.87
623, 0.48
624, 0.12
625, 0.20
626, 0.00
627, 0.23
628, 0.34
629, 0.37
630, 0.10
631, 0.16
632, 0.57
633, 0.42
634, 0.71
635, 0.46
636, 0.79
637, 0.49
638, 0.04
639, 0.27
640, 0.01
641, 0.44
642, 0.41
643, 0.27
644, 0.19
645, 0.60
646, 0.47
647, 0.19
648, 0.10
649, 0.40
650, 0.55
651, 0.13
652, 0.45
653, 0.19
654, 0.48
655, 0.52
656, 0.56
657, 0.50
658, 0.03
659, 0.46
660, 0.65
661, 0.11
662, 0.46
663, 0.03
664, 0.36
665, 0.28
666, 0.33
667, 0.14
668, 0.09
669, 0.21
670, 0.16
671, 0.31
672, 0.46
673, 0.50
674, 0.29
675, 0.20
676, 0.48
677, 0.13
678, 0.14
679, 0.59
680, 0.34
681, 0.27
682, 0.29
683, 0.34
684, 0.12
685, 0.48
686, 0.05
687, 0.06
688, 0.14
689, 0.05
690, 0.07
691, 0.54
692, 0.31
693, 0.17
694, 0.32
695, 0.13
696, 0.23
697, 0.22
698, 0.90
699, 0.04
700, 0.38
701, 0.28
702, 0.83
703, 0.07
704, 0.65
705, 0.44
706, 0.13
707, 0.30
708, 0.53
709, 0.27
710, 0.81
711, 0.27
712, 0.05
713, 0.11
714, 0.07
715, 0.37
716, 0.88
717, 0.56
718, 0.43
719, 0.62
720, 0.74
721, 0.09
722, 0.27
723, 0.23
724, 0.07
725, 0.10
726, 0.37
727, 0.19
728, 0.34
729, 0.02
730, 0.22
731, 0.72
732, 0.38
733, 0.06
734, 0.70
735, 0.72
736, 0.12
737, 0.44
738, 0.75
739, 0.64
740, 0.31
741, 0.27
742, 0.55
743, 0.45
744, 0.30
745, 0.41
746, 0.87
747, 0.42
748, 0.33
749, 0.58
750, 0.13
751, 0.50
752, 0.14
753, 0.21
754, 0.26
755, 0.70
756, 0.45
757, 0.97
758, 0.34
759, 0.02
760, 0.82
761, 0.27
762, 0.21
763, 0.74
764, 0.42
765, 0.35
766, 0.95
767, 0.10
768, 0.57
769, 0.33
770, 0.28
771, 0.30
772, 0.31
773, 0.13
774, 0.18
775, 0.71
776, 0.64
777, 0.51
778, 0.22
779, 0.11
780, 0.76
781, 0.62
782, 0.17
783, 0.28
784, 0.43
785, 0.10
786, 0.53
787, 0.15
788, 0.17
789, 0.28
790, 0.30
791, 0.45
792, 0.19
793, 0.44
794, 0.33
795, 0.32
796, 0.21
797, 0.36
798, 0.39
799, 0.20
800, 0.25
801, 0.22
802, 0.53
803, 0.49
804, 0.69
805, 0.15
806, 0.67
807, 0.16
808, 0.47
809, 0.35
810, 0.56
811, 0.69
812, 0.40
813, 0.08
814, 0.78
815, 0.18
816, 0.31
817, 0.15
818, 0.21
819, 0.18
820, 0.79
821, 0.08
822, 0.13
823, 0.03
824, 0.26
825, 0.16
826, 0.02
827, 0.21
828, 0.56
829, 0.46
830, 0.17
831, 0.08
832, 0.85
833, 0.23
834, 0.37
835, 0.71
836, 0.29
837, 0.08
838, 0.29
839, 0.34
840, 0.14
841, 0.08
842, 0.02
843, 0.30
844, 0.38
845, 0.63
846, 0.51
847, 0.38
848, 0.19
849, 0.08
850, 0.51
851, 0.18
852, 0.47
853, 0.62
854, 0.05
855, 0.14
856, 0.15
857, 0.25
858, 0.20
859, 0.11
860, 0.06
861, 0.32
862, 0.53
863, 0.07
864, 0.20
865, 0.38
866, 0.08
867, 0.20
868, 0.11
869, 0.08
870, 0.14
871, 0.19
872, 0.81
873, 0.46
874, 0.44
875, 0.23
876, 0.03
877, 0.31
878, 0.10
879, 0.31
880, 0.07
881, 0.56
882, 0.21
883, 0.13
884, 0.35
885, 0.97
886, 0.67
887, 0.06
888, 0.97
889, 0.12
890, 0.99
891, 0.20
892, 0.15
893, 0.11
894, 0.01
895, 0.81
896, 0.27
897, 0.21
898, 0.93
899, 0.04
900, 0.26
901, 0.18
902, 0.04
903, 0.85
904, 0.24
905, 0.09
906, 0.60
907, 0.89
908, 0.39
909, 0.47
910, 0.24
911, 0.24
912, 0.26
913, 0.48
914, 0.90
915, 0.20
916, 0.47
917, 0.22
918, 0.18
919, 0.07
920, 0.30
921, 0.39
922, 0.50
923, 0.14
924, 0.28
925, 0.18
926, 0.04
927, 0.44
928, 0.32
929, 0.21
930, 0.35
931, 0.10
932, 0.40
933, 0.12
934, 0.31
935, 0.35
936, 0.40
937, 0.28
938, 0.59
939, 0.28
940, 0.49
941, 0.32
942, 0.21
943, 0.17
944, 0.06
945, 0.10
946, 0.71
947, 0.69
948, 0.80
949, 0.44
950, 0.79
951, 0.51
952, 0.32
953, 0.23
954, 0.12
955, 0.82
956, 0.26
957, 0.63
958, 0.24
959, 0.29
960, 0.56
961, 0.14
962, 0.18
963, 0.24
964, 0.21
965, 0.25
966, 0.80
967, 0.44
968, 0.33
969, 0.10
970, 0.30
971, 0.29
972, 0.01
973, 0.33
974, 0.52
975, 0.25
976, 0.20
977, 0.23
978, 0.21
979, 0.84
980, 0.43
981, 0.01
982, 0.27
983, 0.78
984, 0.15
985, 0.30
986, 0.29
987, 0.22
988, 0.88
989, 0.31
990, 0.86
991, 0.09
992, 0.67
993, 0.58
994, 0.47
995, 0.11
996, 0.20
997, 0.13
998, 0.86
999, 0.35
1000, 0.05
1001, 0.24
1002, 0.70
1003, 0.48
1004, 0.17
1005, 0.77
1006, 0.20
1007, 0.41
1008, 0.24
1009, 0.21
1010, 0.54
1011, 0.09
1012, 0.29
1013, 0.10
1014, 0.22
1015, 0.21
1016, 0.04
1017, 0.11
1018, 0.17
1019, 0.71
1020, 0.11
1021, 0.60
1022, 0.69
1023, 0.09
1024, 0.61
1025, 0.12
1026, 0.94
1027, 0.91
1028, 0.05
1029, 0.27
1030, 0.90
1031, 0.77
1032, 0.51
1033, 0.32
1034, 0.29
1035, 0.45
1036, 0.13
1037, 0.16
1038, 0.20
1039, 0.18
1040, 0.56
1041, 0.56
1042, 0.21
1043, 0.12
1044, 0.82
1045, 0.09
1046, 0.16
1047, 0.29
1048, 0.35
1049, 0.36
1050, 0.14
1051, 0.00
1052, 0.21
1053, 0.20
1054, 0.35
1055, 0.52
1056, 0.57
1057, 0.03
1058, 0.41
1059, 0.43
1060, 0.84
1061, 0.12
1062, 0.46
1063, 0.18
1064, 0.05
1065, 0.17
1066, 0.42
1067, 0.22
1068, 0.41
1069, 0.74
1070, 0.15
1071, 0.51
1072, 0.23
1073, 0.52
1074, 0.88
1075, 0.31
1076, 0.21
1077, 0.27
1078, 0.87
1079, 0.49
1080, 0.24
1081, 0.79
1082, 0.79
1083, 0.57
1084, 0.49
1085, 0.08
1086, 0.36
1087, 0.08
1088, 0.70
1089, 0.13
1090, 0.23
1091, 0.36
1092, 0.58
1093, 0.32
1094, 0.58
1095, 0.84
1096, 0.41
1097, 0.14
1098, 0.28
1099, 0.17
1100, 0.12
1101, 0.18
1102, 0.08
1103, 0.51
1104, 0.47
1105, 0.46
1106, 0.06
1107, 0.13
1108, 0.52
1109, 0.75
1110, 0.48
1111, 0.74
1112, 0.21
1113, 0.25
1114, 0.07
1115, 0.13
1116, 0.23
1117, 0.12
1118, 0.29
1119, 0.04
1120, 0.09
1121, 0.50
1122, 0.19
1123, 0.62
1124, 0.07
1125, 0.41
1126, 0.32
1127, 0.21
1128, 0.55
1129, 0.16
1130, 0.19
1131, 0.33
1132, 0.17
1133, 0.03
1134, 0.04
1135, 0.07
1136, 0.49
1137, 0.08
1138, 0.43
1139, 0.05
1140, 0.29
1141, 0.13
1142, 0.70
1143, 0.41
1144, 0.32
1145, 0.20
1146, 0.47
1147, 0.11
1148, 0.53
1149, 0.07
1150, 0.17
1151, 0.06
1152, 0.02
1153, 0.68
1154, 0.35
1155, 0.63
1156, 0.73
1157, 0.08
1158, 0.43
1159, 0.11
1160, 0.24
1161, 0.26
1162, 0.17
1163, 0.50
1164, 0.06
1165, 0.46
1166, 0.48
1167, 0.05
1168, 0.18
1169, 0.42
1170, 0.10
1171, 0.22
1172, 0.48
1173, 0.40
1174, 0.36
1175, 0.76
1176, 0.28
1177, 0.28
1178, 0.30
1179, 0.05
1180, 0.27
1181, 0.03
1182, 0.03
1183, 0.14
1184, 0.28
1185, 0.69
1186, 0.83
1187, 0.31
1188, 0.06
1189, 0.72
1190, 0.06
1191, 0.48
1192, 0.10
1193, 0.15
1194, 0.06
1195, 0.49
1196, 0.32
1197, 0.67
1198, 0.14
1199, 0.30
1200, 0.60
1201, 0.87
1202, 0.38
1203, 0.06
1204, 0.30
1205, 0.42
1206, 0.15
1207, 0.78
1208, 0.15
1209, 0.02
1210, 0.20
1211, 0.27
1212, 0.29
1213, 0.05
1214, 0.27
1215, 0.64
1216, 0.15
1217, 0.28
1218, 0.34
1219, 0.42
1220, 0.50
1221, 0.15
1222, 0.29
1223, 0.19
1224, 0.33
1225, 0.65
1226, 0.13
1227, 0.26
1228, 0.29
1229, 0.43
1230, 0.61
1231, 0.51
1232, 0.14
1233, 0.21
1234, 0.16
1235, 0.73
1236, 0.18
1237, 0.73
1238, 0.10
1239, 0.25
1240, 0.68
1241, 0.17
1242, 0.55
1243, 0.36
1244, 0.30
1245, 0.83
1246, 0.43
1247, 0.55
1248, 0.15
1249, 0.36
1250, 0.11
1251, 0.35
1252, 0.11
1253, 0.27
1254, 0.18
1255, 0.35
1256, 0.32
1257, 0.57
1258, 0.27
1259, 0.92
1260, 0.06
1261, 0.32
1262, 0.04
1263, 0.70
1264, 0.16
1265, 0.10
1266, 0.80
1267, 0.19
1268, 0.07
1269, 0.50
1270, 0.70
1271, 0.61
1272, 0.69
1273, 0.36
1274, 0.83
1275, 0.42
1276, 0.14
1277, 0.31
1278, 0.37
1279, 0.41
1280, 0.12
1281, 0.37
1282, 0.04
1283, 0.29
1284, 0.69
1285, 0.24
1286, 0.36
1287, 0.52
1288, 0.57
1289, 0.06
1290, 0.63
1291, 0.09
1292, 0.07
1293, 0.08
1294, 0.53
1295, 0.54
1296, 0.45
1297, 0.03
1298, 0.29
1299, 0.05
1300, 0.20
1301, 0.52
1302, 0.23
1303, 0.23
1304, 0.32
1305, 0.42
1306, 0.26
1307, 0.27
1308, 0.54
1309, 0.07
1310, 0.21
1311, 0.30
1312, 0.36
1313, 0.36
1314, 0.56
1315, 0.20
1316, 0.58
1317, 0.21
1318, 0.12
1319, 0.41
1320, 0.11
1321, 0.10
1322, 0.05
1323, 0.73
1324, 0.80
1325, 0.28
1326, 0.22
1327, 0.77
1328, 0.35
1329, 0.28
1330, 0.65
1331, 0.31
1332, 0.38
1333, 0.02
1334, 0.14
1335, 0.71
1336, 0.24
1337, 0.56
1338, 0.33
1339, 0.49
1340, 0.02
1341, 0.12
1342, 0.43
1343, 0.88
1344, 0.52
1345, 0.48
1346, 0.35
1347, 0.73
1348, 0.28
1349, 0.27
1350, 0.09
1351, 0.60
1352, 0.69
1353, 0.25
1354, 0.89
1355, 0.04
1356, 0.40
1357, 0.25
1358, 0.06
1359, 0.03
1360, 0.22
1361, 0.12
1362, 0.49
1363, 0.11
1364, 0.17
1365, 0.08
1366, 0.03
1367, 0.53
1368, 0.52
1369, 0.36
1370, 0.66
1371, 0.80
1372, 0.06
1373, 0.18
1374, 0.18
1375, 0.11
1376, 0.40
1377, 0.18
1378, 0.27
1379, 0.41
1380, 0.28
1381, 0.33
1382, 0.40
1383, 0.40
1384, 0.30
1385, 0.16
1386, 0.76
1387, 0.03
1388, 0.21
1389, 0.15
1390, 0.24
1391, 0.08
1392, 0.44
1393, 0.60
1394, 0.31
1395, 0.09
1396, 0.72
1397, 0.42
1398, 0.01
1399, 0.49
1400, 0.49
1401, 0.29
1402, 0.64
1403, 0.55
1404, 0.28
1405, 0.40
1406, 0.35
1407, 0.69
1408, 0.37
1409, 0.41
1410, 0.30
1411, 0.01
1412, 0.15
1413, 0.13
1414, 0.04
1415, 0.11
1416, 0.09
1417, 0.07
1418, 0.00
1419, 0.72
1420, 0.65
1421, 0.25
1422, 0.82
1423, 0.14
1424, 0.15
1425, 0.41
1426, 0.09
1427, 0.94
1428, 0.13
1429, 0.48
1430, 0.27
1431, 0.29
1432, 0.32
1433, 0.13
1434, 0.46
1435, 0.88
1436, 0.82
1437, 0.15
1438, 0.55
1439, 0.30
1440, 0.12
1441, 0.81
1442, 0.65
1443, 0.21
1444, 0.36
1445, 0.22
1446, 0.48
1447, 0.32
1448, 0.31
1449, 0.53
1450, 0.09
1451, 0.56
1452, 0.14
1453, 0.04
1454, 0.50
1455, 0.17
1456, 0.67
1457, 0.45
1458, 0.58
1459, 0.04
1460, 0.44
1461, 0.22
1462, 0.56
1463, 0.13
1464, 0.14
1465, 0.44
1466, 0.11
1467, 0.08
1468, 0.20
1469, 0.06
1470, 0.68
1471, 0.29
1472, 0.07
1473, 0.30
1474, 0.54
1475, 0.81
1476, 0.26
1477, 0.18
1478, 0.00
1479, 0.04
1480, 0.80
1481, 0.38
1482, 0.26
1483, 0.84
1484, 0.26
1485, 0.30
1486, 0.19
1487, 0.50
1488, 0.05
1489, 0.33
1490, 0.25
1491, 0.10
1492, 0.67
1493, 0.03
1494, 0.43
1495, 0.33
1496, 0.12
1497, 0.72
1498, 0.11
1499, 0.14
1500, 0.79
1501, 0.79
1502, 0.25
1503, 0.68
1504, 0.34
1505, 0.28
1506, 0.29
1507, 0.32
1508, 0.53
1509, 0.63
1510, 0.56
1511, 0.51
1512, 0.50
1513, 0.59
1514, 0.20
1515, 0.22
1516, 0.19
1517, 0.13
1518, 0.01
1519, 0.56
1520, 0.39
1521, 0.06
1522, 0.34
1523, 0.59
1524, 0.11
1525, 0.73
1526, 0.11
1527, 0.08
1528, 0.05
1529, 0.82
1530, 0.16
1531, 0.46
1532, 0.47
1533, 0.33
1534, 0.31
1535, 0.25
1536, 0.63
1537, 0.60
1538, 0.12
1539, 0.33
1540, 0.18
1541, 0.18
1542, 0.09
1543, 0.18
1544, 0.32
1545, 0.13
1546, 0.19
1547, 0.32
1548, 0.31
1549, 0.22
1550, 0.22
1551, 0.29
1552, 0.26
1553, 0.36
1554, 0.07
1555, 0.25
1556, 0.40
1557, 0.07
1558, 0.31
1559, 0.43
1560, 0.10
1561, 0.21
1562, 0.12
1563, 0.25
1564, 0.42
1565, 0.09
1566, 0.09
1567, 0.43
1568, 0.65
1569, 0.48
1570, 0.15
1571, 0.05
1572, 0.14
1573, 0.30
1574, 0.47
1575, 0.11
1576, 0.23
1577, 0.29
1578, 0.35
1579, 0.08
1580, 0.22
1581, 0.50
1582, 0.43
1583, 0.08
1584, 0.49
1585, 0.83
1586, 0.07
1587, 0.06
1588, 0.42
1589, 0.69
1590, 0.47
1591, 0.04
1592, 0.05
1593, 0.09
1594, 0.20
1595, 0.46
1596, 0.83
1597, 0.14
1598, 0.08
1599, 0.44
1600, 0.19
1601, 0.78
1602, 0.49
1603, 0.45
1604, 0.13
1605, 0.10
1606, 0.45
1607, 0.48
1608, 0.05
1609, 0.11
1610, 0.46
1611, 0.45
1612, 0.33
1613, 0.37
1614, 0.27
1615, 0.56
1616, 0.92
1617, 0.51
1618, 0.22
1619, 0.11
1620, 0.10
1621, 0.19
1622, 0.23
1623, 0.15
1624, 0.18
1625, 0.64
1626, 0.20
1627, 0.35
1628, 0.07
1629, 0.23
1630, 0.00
1631, 0.14
1632, 0.13
1633, 0.31
1634, 0.19
1635, 0.47
1636, 0.09
1637, 0.47
1638, 0.20
1639, 0.28
1640, 0.33
1641, 0.86
1642, 0.01
1643, 0.28
1644, 0.42
1645, 0.57
1646, 0.61
1647, 0.77
1648, 0.64
1649, 0.22
1650, 0.18
1651, 0.12
1652, 0.27
1653, 0.83
1654, 0.94
1655, 0.25
1656, 0.42
1657, 0.18
1658, 0.08
1659, 0.67
1660, 0.12
1661, 0.10
1662, 0.40
1663, 0.18
1664, 0.84
1665, 0.42
1666, 0.07
1667, 0.47
1668, 0.41
1669, 0.98
1670, 0.04
1671, 0.14
1672, 0.48
1673, 0.78
1674, 0.17
1675, 0.68
1676, 0.36
1677, 0.78
1678, 0.65
1679, 0.47
1680, 0.20
1681, 0.14
1682, 0.67
1683, 0.48
1684, 0.06
1685, 0.77
1686, 0.82
1687, 0.10
1688, 0.64
1689, 0.11
1690, 0.48
1691, 0.23
1692, 0.87
1693, 0.84
1694, 0.35
1695, 0.31
1696, 0.30
1697, 0.20
1698, 0.34
1699, 0.10
1700, 0.11
1701, 0.60
1702, 0.64
1703, 0.25
1704, 0.27
1705, 0.45
1706, 0.60
1707, 0.22
1708, 0.12
1709, 0.21
1710, 0.71
1711, 0.71
1712, 0.62
1713, 0.48
1714, 0.21
1715, 0.05
1716, 0.80
1717, 0.48
1718, 0.27
1719, 0.43
1720, 0.05
1721, 0.33
1722, 0.47
1723, 0.18
1724, 0.16
1725, 0.49
1726, 0.05
1727, 0.47
1728, 0.22
1729, 0.67
1730, 0.13
1731, 0.45
1732, 0.40
1733, 0.29
1734, 0.38
1735, 0.37
1736, 0.58
1737, 0.28
1738, 0.30
1739, 0.90
1740, 0.51
1741, 0.19
1742, 0.53
1743, 0.01
1744, 0.38
1745, 0.22
1746, 0.16
1747, 0.18
1748, 0.05
1749, 0.84
1750, 0.58
1751, 0.22
1752, 0.24
1753, 0.25
1754, 0.40
1755, 0.56
1756, 0.35
1757, 0.33
1758, 0.44
1759, 0.14
1760, 0.09
1761, 0.07
1762, 0.08
1763, 0.25
1764, 0.40
1765, 0.12
1766, 0.97
1767, 0.10
1768, 0.12
1769, 0.23
1770, 0.56
1771, 0.72
1772, 0.32
1773, 0.15
1774, 0.21
1775, 0.37
1776, 0.18
1777, 0.52
1778, 0.14
1779, 0.02
1780, 0.66
1781, 0.25
1782, 0.36
1783, 0.09
1784, 0.51
1785, 0.35
1786, 0.01
1787, 0.15
1788, 0.25
1789, 0.28
1790, 0.27
1791, 0.45
1792, 0.18
1793, 0.02
1794, 0.19
1795, 0.09
1796, 0.34
1797, 0.60
1798, 0.13
1799, 0.31
1800, 0.35
1801, 0.23
1802, 0.52
1803, 0.88
1804, 0.13
1805, 0.50
1806, 0.07
1807, 0.04
1808, 0.22
1809, 0.40
1810, 0.06
1811, 0.57
1812, 0.23
1813, 0.09
1814, 0.69
1815, 0.13
1816, 0.05
1817, 0.48
1818, 0.47
1819, 0.02
1820, 0.21
1821, 0.39
1822, 0.18
1823, 0.26
1824, 0.49
1825, 0.16
1826, 0.09
1827, 0.28
1828, 0.57
1829, 0.23
1830, 0.60
1831, 0.09
1832, 0.28
1833, 0.19
1834, 0.22
1835, 0.15
1836, 0.25
1837, 0.25
1838, 0.66
1839, 0.74
1840, 0.43
1841, 0.78
1842, 0.13
1843, 0.63
1844, 0.24
1845, 0.27
1846, 0.54
1847, 0.06
1848, 0.21
1849, 0.13
1850, 0.42
1851, 0.62
1852, 0.34
1853, 0.16
1854, 0.08
1855, 0.84
1856, 0.05
1857, 0.20
1858, 0.12
1859, 0.47
1860, 0.15
1861, 0.18
1862, 0.12
1863, 0.60
1864, 0.26
1865, 0.01
1866, 0.71
1867, 0.24
1868, 0.44
1869, 0.28
1870, 0.03
1871, 0.25
1872, 0.23
